i,j,a
1,1,588293
2,1,93
3,1,833
4,1,691
5,1,2087
6,1,2340
7,1,101
8,1,81
9,1,13
10,1,12635
11,1,18799
12,1,1268
13,1,263
14,1,2823
15,1,1562
16,1,207
17,1,434
18,1,925
19,1,3065
20,1,634
21,1,228
22,1,1201
23,1,3527
24,1,123
25,1,8922
26,1,1395
27,1,449
28,1,169
29,1,280
30,1,193
31,1,189
32,1,410
33,1,1812
34,1,5420
35,1,97
36,1,1567
37,1,591
38,1,758
39,1,1332
41,1,2999
43,1,9326
44,1,8747
45,1,486
47,1,4930
48,1,1821
49,1,221
50,1,708
51,1,51
1,2,1771
2,2,100280
3,2,5001
4,2,560
5,2,7358
6,2,3191
7,2,180
8,2,329
9,2,135
10,2,7405
11,2,1079
12,2,844
13,2,4510
14,2,4119
15,2,371
16,2,967
17,2,108
19,2,288
20,2,37
21,2,671
22,2,225
23,2,3456
24,2,893
25,2,117
26,2,2043
27,2,1118
28,2,721
29,2,597
31,2,1198
32,2,416
33,2,6124
34,2,3991
35,2,393
36,2,1637
37,2,1137
38,2,1935
39,2,759
41,2,2421
42,2,554
43,2,531
44,2,6670
45,2,2151
46,2,580
47,2,3202
48,2,5266
49,2,598
50,2,432
51,2,761
1,3,1677
2,3,2467
3,3,1028366
4,3,439
5,3,35650
6,3,12338
7,3,1387
8,3,541
9,3,43
10,3,8451
11,3,4292
12,3,2900
13,3,3543
14,3,7657
15,3,3975
16,3,1411
17,3,2028
18,3,1818
19,3,2010
20,3,325
21,3,945
22,3,1017
23,3,3840
24,3,2314
25,3,556
26,3,2356
27,3,1971
28,3,1646
29,3,10142
30,3,246
31,3,3784
32,3,7444
33,3,2821
34,3,4286
35,3,1313
36,3,6763
37,3,3770
38,3,7911
39,3,2278
40,3,214
41,3,1971
42,3,1422
43,3,1346
44,3,20073
45,3,6585
46,3,310
47,3,4679
48,3,12397
49,3,50
50,3,4045
51,3,369
1,4,1642
2,4,190
3,4,1066
4,4,405831
5,4,2648
6,4,1615
7,4,84
9,4,81
10,4,3025
11,4,2112
12,4,242
13,4,224
14,4,3185
15,4,2016
16,4,433
17,4,998
18,4,1058
19,4,2774
20,4,38
21,4,423
22,4,167
23,4,2054
24,4,951
25,4,2315
26,4,6168
27,4,49
28,4,161
29,4,310
30,4,22
31,4,57
32,4,682
33,4,1041
34,4,327
35,4,249
36,4,1952
37,4,6894
38,4,988
39,4,582
41,4,1333
42,4,659
43,4,7393
44,4,16461
45,4,422
47,4,645
48,4,756
49,4,225
50,4,335
51,4,174
1,5,3389
2,5,3098
3,5,49635
4,5,4077
5,5,5271168
6,5,23234
7,5,3699
8,5,699
9,5,3797
10,5,22420
11,5,14949
12,5,10173
13,5,9021
14,5,13930
15,5,7649
16,5,3297
17,5,4743
18,5,2130
19,5,3957
20,5,829
21,5,8595
22,5,11556
23,5,7793
24,5,6638
25,5,4723
26,5,8386
27,5,3033
28,5,5124
29,5,40114
30,5,547
31,5,5986
32,5,7066
33,5,25761
34,5,15373
35,5,1356
36,5,9032
37,5,8233
38,5,34214
39,5,10672
40,5,1949
41,5,6592
42,5,1286
43,5,7130
44,5,58992
45,5,18237
46,5,819
47,5,19371
48,5,38421
49,5,1442
50,5,6637
51,5,2539
1,6,348
2,6,1583
3,6,10189
4,6,746
5,6,21245
6,6,763233
7,6,1502
8,6,169
9,6,452
10,6,9383
11,6,2325
12,6,950
13,6,1813
14,6,3271
15,6,1930
16,6,2891
17,6,5030
18,6,221
19,6,1202
20,6,290
21,6,1796
22,6,1388
23,6,3425
24,6,2662
25,6,484
26,6,3144
27,6,2856
28,6,3245
29,6,2714
30,6,403
31,6,2203
32,6,5525
33,6,3724
34,6,3919
35,6,1229
36,6,2690
37,6,3273
38,6,2110
39,6,2491
40,6,301
41,6,1000
42,6,1021
43,6,1372
44,6,19126
45,6,3986
46,6,529
47,6,4908
48,6,3938
49,6,124
50,6,2592
51,6,6905
1,7,2921
2,7,138
3,7,1875
4,7,519
5,7,3073
6,7,1567
7,7,316883
8,7,66
9,7,981
10,7,11704
11,7,709
12,7,731
14,7,1819
15,7,1227
16,7,424
17,7,412
18,7,176
19,7,358
20,7,2481
21,7,1608
22,7,9445
23,7,1656
24,7,74
25,7,54
26,7,1516
27,7,58
28,7,381
29,7,189
30,7,1617
31,7,1924
33,7,15123
34,7,1975
36,7,1189
37,7,97
38,7,949
39,7,4150
40,7,2613
41,7,1752
43,7,150
44,7,2927
45,7,562
46,7,2105
47,7,5376
48,7,1026
49,7,594
50,7,993
51,7,11
1,8,232
2,8,11
4,8,79
5,8,1302
6,8,501
7,8,62
8,8,83156
9,8,128
10,8,1264
11,8,619
12,8,784
14,8,277
15,8,79
17,8,74
20,8,238
21,8,6652
22,8,399
24,8,86
27,8,365
29,8,184
30,8,20
31,8,2100
33,8,1124
34,8,954
35,8,84
36,8,263
37,8,66
38,8,251
39,8,5177
41,8,841
43,8,155
44,8,884
46,8,107
47,8,961
49,8,89
50,8,219
1,9,399
2,9,140
3,9,389
5,9,3240
6,9,298
7,9,607
8,9,154
9,9,66519
10,9,891
11,9,364
12,9,222
14,9,1440
17,9,128
18,9,201
19,9,195
20,9,239
21,9,18492
22,9,676
23,9,256
24,9,367
25,9,415
26,9,215
28,9,29
29,9,983
30,9,68
31,9,781
32,9,212
33,9,3702
34,9,1135
36,9,587
37,9,191
38,9,349
39,9,1401
41,9,589
43,9,307
44,9,2276
45,9,132
46,9,27
47,9,6854
48,9,358
49,9,300
50,9,123
1,10,20063
2,10,1188
3,10,3732
4,10,3067
5,10,22094
6,10,8075
7,10,4771
8,10,810
9,10,1254
10,10,2454255
11,10,42666
12,10,3160
13,10,1733
14,10,17548
15,10,8595
16,10,707
17,10,1581
18,10,7400
19,10,5193
20,10,4304
21,10,7825
22,10,11396
23,10,17712
24,10,2820
25,10,6152
26,10,4513
27,10,291
28,10,1105
29,10,2923
30,10,1970
31,10,12907
32,10,2806
33,10,29344
34,10,28044
35,10,459
36,10,16492
37,10,6056
38,10,3384
39,10,19299
40,10,2230
41,10,15476
42,10,101
43,10,15491
44,10,35777
45,10,1643
46,10,366
47,10,17773
48,10,6094
49,10,2949
50,10,4338
51,10,1525
1,11,19346
2,11,556
3,11,2206
4,11,1446
5,11,13303
6,11,3250
7,11,2000
8,11,639
9,11,937
10,11,38658
11,11,1289450
12,11,2519
13,11,275
14,11,6042
15,11,2543
16,11,1938
17,11,1146
18,11,2725
19,11,4425
20,11,507
21,11,7113
22,11,3264
23,11,4254
24,11,840
25,11,3136
26,11,2964
27,11,231
28,11,434
29,11,1731
30,11,535
31,11,4268
32,11,676
33,11,10584
34,11,16192
35,11,364
36,11,4290
37,11,3514
38,11,1946
39,11,4627
40,11,476
41,11,16355
42,11,69
43,11,17507
44,11,17401
45,11,1052
46,11,101
47,11,8715
48,11,8705
49,11,1296
50,11,1745
51,11,46
1,12,1259
2,12,1366
3,12,2199
4,12,13
5,12,9864
6,12,1852
7,12,587
8,12,201
9,12,372
10,12,3639
11,12,1006
12,12,122727
13,12,254
14,12,1269
15,12,1057
16,12,299
17,12,287
18,12,63
19,12,688
20,12,177
21,12,1170
22,12,733
23,12,630
24,12,901
25,12,369
26,12,871
27,12,32
28,12,275
29,12,4093
31,12,264
32,12,81
33,12,1002
34,12,1806
35,12,138
36,12,1044
37,12,140
38,12,2491
39,12,495
41,12,712
43,12,179
44,12,6106
45,12,1701
46,12,143
47,12,2917
48,12,5940
49,12,147
50,12,1108
1,13,137
2,13,475
3,13,2190
4,13,179
5,13,4796
6,13,1578
7,13,133
8,13,441
9,13,68
10,13,312
11,13,126
12,13,112
13,13,208434
14,13,393
15,13,1368
16,13,161
17,13,264
18,13,36
19,13,230
21,13,389
22,13,412
23,13,882
24,13,402
25,13,55
26,13,560
27,13,1543
28,13,506
29,13,3929
31,13,256
32,13,355
33,13,434
34,13,675
35,13,1209
36,13,312
37,13,21
38,13,6236
39,13,236
40,13,107
41,13,55
42,13,186
44,13,4379
45,13,7538
47,13,434
48,13,10895
49,13,120
50,13,566
51,13,2140
1,14,6991
2,14,985
3,14,10035
4,14,3684
5,14,20834
6,14,6027
7,14,1843
8,14,34
9,14,1397
10,14,19152
11,14,6080
12,14,1884
13,14,390
14,14,1353853
15,14,23071
16,14,13725
17,14,2760
18,14,4273
19,14,1189
20,14,675
21,14,2392
22,14,2991
23,14,9897
24,14,8209
25,14,2068
26,14,20161
27,14,765
28,14,1415
29,14,1668
30,14,478
31,14,3690
32,14,466
33,14,6914
34,14,5971
35,14,571
36,14,7027
37,14,2179
38,14,1350
39,14,3902
40,14,373
41,14,2371
42,14,267
43,14,8593
44,14,15064
45,14,1447
46,14,386
47,14,4000
48,14,2062
49,14,1331
50,14,25521
51,14,450
1,15,1434
2,15,181
3,15,5855
4,15,1362
5,15,4673
6,15,2116
7,15,168
8,15,210
9,15,128
10,15,11472
11,15,2442
12,15,402
13,15,296
14,15,23491
15,15,809158
16,15,349
17,15,863
18,15,11071
19,15,1549
20,15,164
21,15,1318
22,15,640
23,15,7668
24,15,786
25,15,611
26,15,4404
27,15,646
28,15,615
29,15,855
30,15,470
31,15,718
32,15,2030
33,15,2198
34,15,3228
35,15,130
36,15,11588
37,15,2113
38,15,1371
39,15,4086
40,15,41
41,15,3249
42,15,285
43,15,5645
44,15,10265
45,15,545
46,15,258
47,15,2703
48,15,2303
49,15,210
50,15,4017
51,15,6
1,16,30
2,16,319
3,16,4526
4,16,851
5,16,3324
6,16,3510
7,16,67
9,16,241
10,16,1846
11,16,950
12,16,478
13,16,318
14,16,8420
15,16,916
16,16,370554
17,16,1715
18,16,536
19,16,468
20,16,275
21,16,110
22,16,138
23,16,1709
24,16,6175
25,16,650
26,16,4811
27,16,417
28,16,9575
29,16,114
30,16,47
31,16,332
33,16,928
34,16,654
35,16,208
36,16,1146
37,16,580
38,16,659
39,16,1176
40,16,82
41,16,1379
42,16,4772
43,16,387
44,16,3236
45,16,290
47,16,1503
48,16,1000
50,16,3306
51,16,342
1,17,842
2,17,750
3,17,1708
4,17,2008
5,17,2810
6,17,3718
7,17,16
8,17,7
9,17,6
10,17,2661
11,17,4513
12,17,125
13,17,479
14,17,2533
15,17,1321
16,17,1776
17,17,362782
18,17,253
19,17,312
20,17,523
21,17,689
22,17,969
23,17,1148
24,17,606
25,17,66
26,17,20884
27,17,845
28,17,3040
29,17,602
31,17,317
32,17,1333
33,17,838
34,17,4995
35,17,75
36,17,657
37,17,4626
38,17,1263
39,17,2323
40,17,374
41,17,1885
42,17,144
43,17,1805
44,17,12766
45,17,1146
46,17,7
47,17,892
48,17,2820
50,17,418
51,17,286
1,18,2686
2,18,237
3,18,2134
4,18,213
5,18,1201
6,18,1361
8,18,305
9,18,297
10,18,5441
11,18,3686
12,18,18
13,18,120
14,18,5569
15,18,10177
16,18,387
17,18,1167
18,18,505741
19,18,1520
20,18,158
21,18,848
22,18,180
23,18,2578
24,18,755
25,18,1626
26,18,1993
28,18,352
29,18,628
31,18,102
32,18,87
33,18,2414
34,18,1637
36,18,12744
37,18,1398
38,18,71
39,18,4013
40,18,211
41,18,2454
42,18,211
43,18,13884
44,18,6616
45,18,611
46,18,627
47,18,3630
48,18,1271
49,18,515
50,18,1040
51,18,83
1,19,2413
2,19,1077
3,19,844
4,19,2120
5,19,3600
6,19,908
7,19,315
10,19,6094
11,19,6541
12,19,179
13,19,51
14,19,1315
15,19,2241
16,19,228
17,19,519
18,19,1399
19,19,538691
20,19,138
21,19,860
22,19,977
23,19,955
24,19,573
25,19,7139
26,19,1728
28,19,222
29,19,78
31,19,871
32,19,184
33,19,1495
34,19,2936
35,19,422
36,19,1872
37,19,1934
39,19,615
40,19,121
41,19,878
43,19,1901
44,19,25513
45,19,494
46,19,41
47,19,2496
48,19,1016
49,19,326
50,19,850
51,19,114
1,20,626
4,20,30
5,20,1658
6,20,1358
7,20,259
10,20,4689
11,20,408
12,20,106
14,20,693
15,20,275
16,20,26
17,20,481
18,20,71
19,20,120
20,20,157102
21,20,1526
22,20,4006
23,20,599
24,20,321
26,20,291
27,20,71
28,20,122
29,20,49
30,20,3080
31,20,624
32,20,510
33,20,2915
34,20,824
35,20,50
37,20,271
38,20,269
39,20,608
40,20,228
41,20,652
43,20,9
44,20,1357
46,20,322
47,20,2855
48,20,1313
49,20,45
50,20,12
1,21,1606
2,21,216
3,21,1918
4,21,133
5,21,7793
6,21,3303
7,21,1267
8,21,4238
9,21,14129
10,21,15410
11,21,3708
12,21,341
14,21,2565
15,21,480
16,21,487
17,21,3180
18,21,2076
19,21,1221
20,21,52
21,21,553895
22,21,2762
23,21,1035
24,21,424
25,21,265
26,21,716
27,21,57
28,21,318
29,21,931
30,21,222
31,21,5335
32,21,2277
33,21,5037
34,21,10485
35,21,10
36,21,4982
37,21,432
38,21,453
39,21,17751
40,21,472
41,21,3807
42,21,254
43,21,1135
44,21,9443
45,21,342
46,21,361
47,21,22051
48,21,1899
49,21,7515
50,21,147
1,22,112
2,22,141
3,22,743
4,22,781
5,22,10244
6,22,2157
7,22,8691
8,22,806
9,22,2048
10,22,13701
11,22,4436
12,22,92
13,22,396
14,22,3507
15,22,952
16,22,466
17,22,28
18,22,1019
19,22,439
20,22,4439
21,22,3470
22,22,656441
23,22,2861
24,22,970
25,22,1445
26,22,463
27,22,10
29,22,256
30,22,15526
31,22,4675
32,22,252
33,22,14646
34,22,9053
35,22,369
36,22,2101
37,22,160
38,22,1423
39,22,6284
40,22,7715
41,22,730
42,22,113
43,22,1690
44,22,5035
45,22,959
46,22,2378
47,22,5386
48,22,1580
49,22,236
50,22,733
51,22,152
1,23,2797
2,23,771
3,23,9396
4,23,1881
5,23,12069
6,23,3225
7,23,692
8,23,43
9,23,1108
10,23,19640
11,23,6992
12,23,1303
13,23,615
14,23,10274
15,23,7896
16,23,1687
17,23,1947
18,23,3178
19,23,1163
20,23,702
21,23,2077
22,23,2629
23,23,1242917
24,23,5164
25,23,1610
26,23,2830
27,23,353
28,23,683
29,23,1663
30,23,155
31,23,1889
32,23,908
33,23,3936
34,23,7530
35,23,328
36,23,14330
37,23,1038
38,23,1652
39,23,4406
40,23,178
41,23,4483
42,23,239
43,23,5983
44,23,15654
45,23,1099
46,23,335
47,23,7323
48,23,3720
49,23,459
50,23,5623
51,23,849
1,24,327
2,24,593
3,24,3297
4,24,232
5,24,5687
6,24,3055
7,24,76
8,24,201
9,24,409
10,24,4663
11,24,1808
12,24,933
13,24,566
14,24,4496
15,24,1168
16,24,5634
17,24,679
18,24,475
19,24,698
20,24,296
21,24,810
22,24,862
23,24,2671
24,24,646176
25,24,614
26,24,2026
27,24,969
28,24,1455
29,24,1055
30,24,104
31,24,1261
32,24,438
33,24,1824
34,24,1294
35,24,12244
36,24,1788
37,24,497
38,24,1413
39,24,853
40,24,27
41,24,471
42,24,5342
43,24,445
44,24,7691
45,24,939
46,24,206
47,24,834
48,24,1543
50,24,17927
51,24,357
1,25,3945
2,25,554
3,25,1226
4,25,1731
5,25,2092
6,25,879
7,25,69
9,25,83
10,25,5175
11,25,5380
12,25,371
13,25,62
14,25,1521
15,25,469
16,25,408
17,25,1517
18,25,1248
19,25,10255
21,25,1109
22,25,356
23,25,715
24,25,549
25,25,332934
26,25,1641
28,25,424
29,25,203
30,25,160
31,25,510
32,25,556
33,25,401
34,25,1273
35,25,80
36,25,691
37,25,199
38,25,7
39,25,1238
41,25,2163
42,25,129
43,25,9172
44,25,6048
45,25,143
47,25,1682
48,25,1110
50,25,983
51,25,70
1,26,1086
2,26,921
3,26,3872
4,26,7314
5,26,7677
6,26,4552
7,26,365
8,26,713
9,26,112
10,26,7114
11,26,2514
12,26,308
13,26,384
14,26,13889
15,26,1824
16,26,3649
17,26,22033
18,26,2793
19,26,1375
20,26,325
21,26,1469
22,26,1261
23,26,2509
24,26,1345
25,26,1581
26,26,801046
27,26,158
28,26,1848
29,26,335
30,26,153
31,26,583
32,26,1183
33,26,1417
34,26,2638
35,26,330
