i,j,a
36,26,2003
37,26,5781
38,26,1172
39,26,1761
40,26,109
41,26,1522
42,26,354
43,26,3795
44,26,13473
45,26,511
46,26,69
47,26,2277
48,26,3307
49,26,309
50,26,2090
51,26,241
1,27,317
2,27,248
3,27,2431
4,27,713
5,27,2599
6,27,4079
7,27,206
9,27,38
10,27,559
11,27,246
12,27,85
13,27,1602
14,27,304
15,27,34
16,27,370
17,27,270
18,27,216
19,27,278
20,27,10
21,27,73
22,27,596
23,27,84
24,27,1457
26,27,845
27,27,122210
28,27,64
29,27,1137
30,27,230
31,27,49
32,27,544
33,27,391
34,27,563
35,27,1227
36,27,101
37,27,803
38,27,1079
39,27,338
41,27,915
42,27,232
43,27,43
44,27,537
45,27,1241
47,27,617
48,27,2125
49,27,60
50,27,143
51,27,1105
1,28,770
2,28,5
3,28,1393
4,28,332
5,28,1955
6,28,4582
7,28,62
8,28,12
9,28,79
10,28,3857
11,28,4144
12,28,91
13,28,439
14,28,827
15,28,622
16,28,6490
17,28,1648
18,28,471
19,28,176
22,28,637
23,28,439
24,28,1936
25,28,118
26,28,4860
27,28,384
28,28,253269
29,28,32
30,28,33
31,28,312
32,28,353
33,28,579
34,28,1056
35,28,218
36,28,1176
37,28,1979
38,28,324
39,28,582
41,28,204
42,28,1695
43,28,631
44,28,3837
45,28,195
47,28,256
48,28,673
49,28,78
50,28,483
51,28,1784
1,29,257
2,29,532
3,29,8756
4,29,641
5,29,36159
6,29,4061
7,29,160
9,29,238
10,29,3527
11,29,774
12,29,1548
13,29,3581
14,29,2454
15,29,511
16,29,2009
17,29,657
18,29,1358
19,29,994
20,29,150
21,29,1105
22,29,163
23,29,1215
24,29,2682
25,29,84
26,29,1544
27,29,688
28,29,240
29,29,480317
30,29,186
31,29,899
32,29,2099
33,29,1785
34,29,1048
35,29,845
36,29,1851
37,29,705
38,29,7222
39,29,1057
41,29,1017
42,29,110
43,29,883
44,29,7793
45,29,4315
46,29,15
47,29,1717
48,29,4925
49,29,293
50,29,663
51,29,427
1,30,64
2,30,520
3,30,228
4,30,52
5,30,1222
6,30,489
7,30,1221
9,30,145
10,30,4324
11,30,132
12,30,107
13,30,129
14,30,590
15,30,90
17,30,27
18,30,52
19,30,15
20,30,4302
21,30,232
22,30,12010
23,30,73
24,30,21
25,30,65
26,30,769
30,30,122129
31,30,499
32,30,114
33,30,2972
34,30,2078
36,30,1992
38,30,427
39,30,1326
40,30,941
41,30,372
43,30,132
44,30,459
45,30,34
46,30,2244
47,30,1344
48,30,824
49,30,160
50,30,480
1,31,1996
2,31,128
3,31,3379
4,31,341
5,31,8053
6,31,2863
7,31,3809
8,31,6297
9,31,1035
10,31,25206
11,31,8371
12,31,564
13,31,84
14,31,3009
15,31,651
16,31,185
17,31,1189
18,31,1289
19,31,453
20,31,694
21,31,9627
22,31,8332
23,31,1849
24,31,631
25,31,269
26,31,1114
27,31,889
28,31,119
29,31,2118
30,31,294
31,31,693380
32,31,245
33,31,41450
34,31,10374
35,31,183
36,31,3936
37,31,391
38,31,1322
39,31,36133
40,31,1224
41,31,4241
42,31,441
43,31,1396
44,31,7578
45,31,506
46,31,962
47,31,7327
48,31,2006
49,31,1431
50,31,378
51,31,7
1,32,119
2,32,226
3,32,4610
4,32,775
5,32,5904
6,32,8797
7,32,265
10,32,1376
11,32,791
12,32,354
13,32,141
14,32,1573
15,32,504
16,32,421
17,32,769
18,32,553
19,32,1028
20,32,144
21,32,797
22,32,199
23,32,508
24,32,540
25,32,1075
26,32,1016
27,32,264
28,32,242
29,32,2136
30,32,186
31,32,355
32,32,228218
33,32,461
34,32,1737
35,32,99
36,32,255
37,32,403
38,32,537
39,32,325
40,32,93
41,32,598
42,32,513
43,32,381
44,32,15225
45,32,1707
46,32,56
47,32,1014
48,32,1569
50,32,714
51,32,76
1,33,1108
2,33,940
3,33,3880
4,33,674
5,33,25629
6,33,3998
7,33,20015
8,33,3141
9,33,2313
10,33,59288
11,33,14454
12,33,4246
13,33,419
14,33,6412
15,33,2518
16,33,2361
17,33,780
18,33,2174
19,33,1360
20,33,2589
21,33,9222
22,33,19431
23,33,6087
24,33,2416
25,33,364
26,33,2904
27,33,422
28,33,544
29,33,1516
30,33,1471
31,33,40815
32,33,1445
33,33,1756105
34,33,18321
35,33,264
36,33,8784
37,33,1858
38,33,2056
39,33,29436
40,33,2776
41,33,11317
42,33,6
43,33,4921
44,33,26155
45,33,1937
46,33,3723
47,33,12455
48,33,4512
49,33,2017
50,33,2213
51,33,113
1,34,2697
2,34,470
3,34,2548
4,34,1664
5,34,8708
6,34,4756
7,34,1029
8,34,388
9,34,1716
10,34,23983
11,34,19138
12,34,2307
13,34,263
14,34,4057
15,34,3038
16,34,1760
17,34,1223
18,34,3916
19,34,2134
20,34,1439
21,34,6686
22,34,3964
23,34,3405
24,34,845
25,34,483
26,34,3669
27,34,1173
28,34,829
29,34,1333
30,34,1297
31,34,2482
32,34,522
33,34,9336
34,34,1160510
35,34,900
36,34,4572
37,34,1322
38,34,1099
39,34,11254
40,34,259
41,34,23102
42,34,166
43,34,9353
44,34,14956
45,34,1653
46,34,250
47,34,22753
48,34,3870
49,34,3865
50,34,2120
51,34,395
1,35,284
3,35,1159
4,35,214
5,35,1392
6,35,2249
9,35,285
10,35,514
11,35,201
12,35,32
13,35,1201
14,35,105
15,35,70
16,35,604
17,35,379
18,35,117
19,35,277
20,35,19
22,35,61
23,35,159
24,35,7574
26,35,977
27,35,360
28,35,292
30,35,47
31,35,61
32,35,264
33,35,374
34,35,189
35,35,79837
36,35,204
37,35,928
38,35,313
39,35,195
41,35,271
42,35,2060
43,35,50
44,35,809
45,35,2
47,35,462
48,35,189
50,35,1383
51,35,237
1,36,2596
2,36,319
3,36,4682
4,36,174
5,36,10474
6,36,5527
7,36,1383
8,36,664
9,36,306
10,36,18191
11,36,6863
12,36,970
13,36,260
14,36,8384
15,36,11109
16,36,993
17,36,1616
18,36,19617
19,36,2641
20,36,483
21,36,3396
22,36,1757
23,36,11224
24,36,1961
25,36,991
26,36,3240
27,36,321
28,36,268
29,36,1354
30,36,248
31,36,1121
32,36,1742
33,36,5191
34,36,10187
35,36,286
36,36,1425709
37,36,1608
38,36,949
39,36,13075
40,36,60
41,36,6327
42,36,84
43,36,5944
44,36,12315
45,36,2584
46,36,383
47,36,9570
48,36,2686
49,36,8545
50,36,1358
51,36,22
1,37,973
2,37,616
3,37,3219
4,37,3761
5,37,5113
6,37,3824
7,37,217
8,37,27
10,37,2600
11,37,1632
12,37,685
13,37,288
14,37,1002
15,37,844
16,37,532
17,37,5022
18,37,1256
19,37,4235
20,37,25
21,37,845
22,37,90
23,37,917
24,37,546
25,37,566
26,37,6073
27,37,96
28,37,1255
29,37,258
31,37,773
32,37,234
33,37,1425
34,37,1390
35,37,59
36,37,2333
37,37,528498
38,37,2034
39,37,283
41,37,1008
42,37,40
43,37,3166
44,37,19302
45,37,150
47,37,853
48,37,765
49,37,97
50,37,118
51,37,462
1,38,169
2,38,2161
3,38,4613
4,38,632
5,38,18165
6,38,5543
7,38,117
9,38,51
10,38,3315
11,38,727
12,38,2030
13,38,7170
14,38,792
15,38,505
16,38,811
17,38,285
18,38,459
19,38,1531
20,38,471
21,38,276
22,38,178
23,38,647
24,38,1800
25,38,74
26,38,777
27,38,1959
28,38,1556
29,38,1691
30,38,198
31,38,360
32,38,916
33,38,2189
34,38,1175
35,38,264
36,38,1326
37,38,917
38,38,549332
39,38,1594
40,38,57
41,38,833
42,38,15
43,38,726
44,38,3743
45,38,2037
46,38,124
47,38,3499
48,38,29168
49,38,132
50,38,1057
51,38,960
1,39,1075
2,39,378
3,39,3436
4,39,567
5,39,8550
6,39,3348
7,39,3668
8,39,8571
9,39,1589
10,39,20821
11,39,5791
12,39,870
13,39,343
14,39,3012
15,39,3998
16,39,388
17,39,1494
18,39,1490
19,39,455
20,39,915
21,39,14158
22,39,6538
23,39,2864
24,39,870
25,39,2568
26,39,1810
27,39,840
28,39,252
29,39,570
30,39,1015
31,39,19733
32,39,492
33,39,26596
34,39,9450
35,39,652
36,39,14292
37,39,1116
38,39,1407
39,39,1224564
40,39,1125
41,39,3523
42,39,57
43,39,3360
44,39,9107
45,39,1496
46,39,389
47,39,12009
48,39,2296
49,39,4205
50,39,1294
51,39,284
3,40,72
5,40,1103
6,40,435
7,40,1488
8,40,131
9,40,50
10,40,5002
11,40,337
12,40,58
14,40,278
15,40,49
16,40,65
17,40,180
18,40,640
19,40,268
20,40,234
21,40,197
22,40,10182
23,40,385
25,40,41
26,40,359
29,40,86
30,40,608
31,40,463
33,40,1393
34,40,444
36,40,369
37,40,152
39,40,799
40,40,101689
41,40,453
42,40,7
43,40,14
44,40,1297
46,40,401
47,40,1897
48,40,463
49,40,284
50,40,368
51,40,13
1,41,2036
2,41,186
3,41,1774
4,41,235
5,41,5758
6,41,718
7,41,997
8,41,153
9,41,357
10,41,11953
11,41,16914
12,41,1681
13,41,55
14,41,1582
15,41,3306
16,41,172
17,41,1102
18,41,1387
19,41,1573
20,41,587
21,41,2882
22,41,1621
23,41,2185
24,41,447
25,41,398
26,41,267
27,41,77
28,41,243
29,41,165
30,41,588
31,41,1586
32,41,145
33,41,6947
34,41,20427
35,41,1
36,41,3826
37,41,2015
38,41,370
39,41,3438
40,41,223
41,41,546666
42,41,529
43,41,5531
44,41,4075
45,41,309
46,41,21
47,41,6612
48,41,1519
49,41,1857
50,41,377
51,41,219
1,42,90
2,42,301
3,42,1657
5,42,1004
6,42,1340
9,42,104
10,42,716
11,42,536
13,42,842
14,42,1318
15,42,235
16,42,2842
17,42,104
19,42,37
20,42,42
22,42,44
23,42,571
24,42,5305
25,42,6
26,42,361
27,42,227
28,42,2999
29,42,588
30,42,86
32,42,240
33,42,112
34,42,565
35,42,1293
36,42,34
37,42,600
38,42,417
39,42,142
41,42,62
42,42,94655
43,42,181
44,42,1486
45,42,128
47,42,908
48,42,227
50,42,590
51,42,1043
1,43,8710
2,43,388
3,43,1680
4,43,6462
5,43,8761
6,43,3193
7,43,123
8,43,221
9,43,421
10,43,10451
11,43,16898
12,43,636
13,43,296
14,43,3223
15,43,3879
16,43,623
17,43,1066
18,43,16852
19,43,2495
20,43,394
21,43,1942
22,43,371
23,43,3106
24,43,874
25,43,7683
26,43,2676
27,43,266
28,43,226
29,43,96
30,43,126
31,43,1412
32,43,899
33,43,2660
34,43,6057
35,43,113
36,43,6468
37,43,1700
38,43,673
39,43,3742
40,43,210
41,43,3324
43,43,794556
44,43,10788
45,43,549
46,43,327
47,43,7482
48,43,2342
49,43,546
50,43,744
51,43,69
1,44,7973
2,44,2492
3,44,12688
4,44,14767
5,44,37087
6,44,22390
7,44,1214
8,44,883
9,44,1083
10,44,25532
11,44,15760
12,44,3007
13,44,1303
14,44,11011
15,44,6326
16,44,2334
17,44,6575
18,44,4661
19,44,30292
20,44,1637
21,44,3619
22,44,5203
23,44,9935
24,44,3062
25,44,5243
26,44,10293
27,44,1329
28,44,5343
29,44,7249
30,44,605
31,44,3801
32,44,13633
33,44,9151
34,44,6621
35,44,1862
36,44,11987
37,44,31595
38,44,4498
39,44,7006
40,44,207
41,44,8623
42,44,1156
43,44,7009
44,44,3648260
45,44,4507
46,44,185
47,44,11655
48,44,15491
49,44,1574
50,44,1984
51,44,1398
1,45,300
2,45,662
3,45,10577
5,45,8944
6,45,3856
7,45,398
8,45,475
9,45,75
10,45,2343
11,45,793
12,45,1040
13,45,6059
14,45,951
15,45,123
16,45,1482
17,45,196
18,45,140
19,45,179
20,45,182
21,45,223
22,45,548
23,45,642
24,45,919
25,45,332
26,45,1697
27,45,1232
28,45,734
29,45,3365
30,45,158
31,45,256
32,45,303
33,45,773
34,45,961
35,45,429
36,45,691
37,45,587
38,45,3443
39,45,1246
40,45,181
41,45,181
42,45,560
43,45,200
44,45,5234
45,45,373984
46,45,182
47,45,1426
48,45,4789
49,45,114
50,45,890
51,45,2140
1,46,66
2,46,68
5,46,745
6,46,914
7,46,608
9,46,445
10,46,2019
11,46,361
14,46,49
15,46,530
16,46,38
18,46,151
19,46,87
20,46,612
21,46,40
22,46,2246
24,46,177
26,46,88
27,46,53
30,46,2138
32,46,71
33,46,3882
34,46,212
36,46,68
38,46,176
39,46,446
40,46,621
41,46,91
43,46,38
44,46,349
45,46,122
46,46,60719
47,46,173
48,46,119
49,46,23
50,46,342
51,46,4
1,47,4935
2,47,1488
3,47,2233
4,47,1245
5,47,15753
6,47,6281
7,47,2555
8,47,1064
9,47,7975
10,47,16614
11,47,9438
12,47,2523
13,47,905
14,47,5233
15,47,1486
16,47,720
17,47,1986
18,47,5154
19,47,2055
20,47,570
21,47,22089
22,47,2984
23,47,2327
24,47,1034
25,47,1453
26,47,2684
27,47,278
28,47,615
29,47,1740
30,47,880
31,47,4458
32,47,425
33,47,10800
34,47,27302
35,47,166
36,47,5425
37,47,1013
38,47,1179
39,47,8419
40,47,485
41,47,7879
42,47,79
43,47,6098
44,47,13231
45,47,2413
46,47,740
47,47,889751
48,47,4233
49,47,5561
50,47,2573
51,47,451
1,48,2621
2,48,4548
3,48,13940
4,48,1477
5,48,36481
6,48,5524
7,48,2255
8,48,482
9,48,476
10,48,6339
11,48,3701
12,48,3790
13,48,8991
14,48,3075
15,48,1028
16,48,856
17,48,772
18,48,1121
19,48,1075
20,48,88
21,48,1525
22,48,1673
23,48,1430
24,48,1413
25,48,286
26,48,2518
27,48,3835
28,48,835
29,48,4680
30,48,428
31,48,2454
32,48,924
33,48,2986
34,48,3295
35,48,404
36,48,1979
37,48,1246
38,48,21862
39,48,3688
40,48,262
41,48,2510
42,48,557
43,48,2852
44,48,15325
45,48,4825
46,48,156
47,48,4615
48,48,919925
49,48,83
50,48,1555
51,48,1803
1,49,65
2,49,89
3,49,70
4,49,24
5,49,832
6,49,412
7,49,46
8,49,198
9,49,120
10,49,4964
11,49,1340
12,49,312
14,49,352
15,49,216
16,49,115
18,49,1174
19,49,110
20,49,43
21,49,2027
22,49,911
23,49,417
24,49,92
25,49,303
26,49,196
27,49,14
28,49,24
31,49,1252
33,49,631
34,49,2780
36,49,7548
37,49,44
38,49,66
39,49,4631
40,49,199
41,49,1680
43,49,1385
44,49,663
45,49,270
46,49,53
47,49,9041
48,49,157
49,49,172262
50,49,1090
1,50,417
2,50,23
3,50,6473
4,50,687
5,50,5668
6,50,3995
7,50,660
8,50,55
9,50,946
10,50,7412
11,50,2727
12,50,147
13,50,165
14,50,14507
15,50,2923
16,50,2537
17,50,893
18,50,581
19,50,339
20,50,321
21,50,353
22,50,441
23,50,4018
24,50,19255
25,50,1136
26,50,1503
27,50,146
28,50,560
29,50,2672
31,50,214
32,50,340
33,50,1878
34,50,2291
35,50,1398
36,50,2534
37,50,942
38,50,914
39,50,2426
40,50,2
41,50,341
42,50,481
43,50,1213
44,50,5982
45,50,158
46,50,137
47,50,858
48,50,1491
49,50,42
50,50,675623
51,50,168
1,51,9
2,51,246
3,51,2510
4,51,252
5,51,2047
6,51,2942
7,51,65
8,51,463
10,51,846
11,51,504
12,51,14
13,51,487
14,51,58
15,51,117
16,51,140
17,51,1285
18,51,57
19,51,357
20,51,21
21,51,80
23,51,841
24,51,224
26,51,1120
27,51,2413
28,51,965
29,51,933
30,51,162
31,51,15
32,51,283
33,51,688
34,51,153
35,51,139
36,51,1280
37,51,1763
38,51,914
39,51,195
40,51,23
41,51,632
42,51,1310
43,51,131
44,51,2500
45,51,1058
46,51,38
47,51,190
48,51,1507
50,51,14
51,51,66648