Date,Weekday,Holiday Name,Holiday Type
1/1/2017,Sunday,Republic Day/New Year's Day,National holiday
1/2/2017,Monday,Republic Day/New Year's Day observed,National holiday
1/27/2017,Friday,Chinese New Year's Eve,National holiday
1/28/2017,Saturday,Chinese New Year's Day,National holiday
1/29/2017,Sunday,Chinese New Year Holiday 1,National holiday
1/30/2017,Monday,Chinese New Year Holiday 2,National holiday
1/31/2017,Tuesday,Chinese New Year Holiday 3,National holiday
2/1/2017,Wednesday,Chinese New Year Holiday 4,National holiday
2/4/2017,Saturday,Farmer's Day,Observance
2/11/2017,Saturday,Lantern Festival,Observance
2/11/2017,Saturday,Tourism Day,Observance
2/25/2017,Saturday,228 Memorial Day,National holiday
2/26/2017,Sunday,228 Memorial Day,National holiday
2/27/2017,Monday,Earth God's Birthday,Observance
2/28/2017,Tuesday,228 Memorial Day,National holiday
3/8/2017,Wednesday,Women's Day,Observance
3/12/2017,Sunday,Arbor Day,Observance
3/16/2017,Thursday,Kuan Yin's Birthday,Observance
3/20/2017,Monday,March Equinox,Season
3/29/2017,Wednesday,Youth Day,Observance
4/3/2017,Monday,Children's Day,National holiday
4/5/2017,Wednesday,Tomb Sweeping Day,National holiday
4/11/2017,Tuesday,God of Medicine's Birthday,Observance
4/16/2017,Sunday,Easter Sunday,Observance
4/19/2017,Wednesday,Matsu's Birthday,Observance
5/1/2017,Monday,Labor Day,National holiday
5/3/2017,Wednesday,Buddha's Birthday,Observance
5/4/2017,Thursday,Literary Day,Observance
5/14/2017,Sunday,Mother's Day,Observance
5/30/2017,Tuesday,Dragon Boat Festival,National holiday
6/3/2017,Saturday,Opium Suppression Movement Day,Observance
6/7/2017,Wednesday,Kuan Kung's Birthday,Observance
6/7/2017,Wednesday,Chen Huang's Birthday,Observance
6/21/2017,Wednesday,June Solstice,Season
8/8/2017,Tuesday,Father's Day,Observance
8/28/2017,Monday,Valentine's Day,Observance
9/3/2017,Sunday,Armed Forces Day,Observance
9/5/2017,Tuesday,Ghost Festival,Observance
9/23/2017,Saturday,September Equinox,Season
9/28/2017,Thursday,Teachers' Day,Observance
10/4/2017,Wednesday,Mid-Autumn Festival,National holiday
10/10/2017,Tuesday,National Day/Double Tenth Day,National holiday
10/21/2017,Saturday,Overseas Chinese Day,Observance
10/25/2017,Wednesday,Taiwan's Retrocession Day,Observance
10/28/2017,Saturday,Double Ninth Day,Observance
10/31/2017,Tuesday,Halloween,Observance
11/12/2017,Sunday,Sun Yat-sen's Birthday,Observance
12/2/2017,Saturday,Saisiat Festival,Observance
12/22/2017,Friday,December Solstice,Season
12/22/2017,Friday,D_ngzh“ Festival,Observance
12/25/2017,Monday,Constitution Day,Observance
12/25/2017,Monday,Christmas Day,Observance
1/1/2018,Monday,Republic Day/New Year's Day,National holiday
2/4/2018,Sunday,Farmer's Day,Observance
2/15/2018,Thursday,Chinese New Year's Eve,National holiday
2/16/2018,Friday,Chinese New Year's Day,National holiday
2/17/2018,Saturday,Chinese New Year Holiday 1,National holiday
2/18/2018,Sunday,Chinese New Year Holiday 2,National holiday
2/19/2018,Monday,Chinese New Year Holiday 3,National holiday
2/20/2018,Tuesday,Chinese New Year Holiday 4,National holiday
2/28/2018,Wednesday,228 Memorial Day,National holiday
3/2/2018,Friday,Lantern Festival,Observance
3/2/2018,Friday,Tourism Day,Observance
3/8/2018,Thursday,Women's Day,Observance
3/12/2018,Monday,Arbor Day,Observance
3/18/2018,Sunday,Earth God's Birthday,Observance
3/21/2018,Wednesday,March Equinox,Season
3/29/2018,Thursday,Youth Day,Observance
4/1/2018,Sunday,Easter Sunday,Observance
4/4/2018,Wednesday,Children's Day,National holiday
4/4/2018,Wednesday,Kuan Yin's Birthday,Observance
4/5/2018,Thursday,Tomb Sweeping Day,National holiday
4/30/2018,Monday,God of Medicine's Birthday,Observance
5/1/2018,Tuesday,Labor Day,National holiday
5/4/2018,Friday,Literary Day,Observance
5/8/2018,Tuesday,Matsu's Birthday,Observance
5/13/2018,Sunday,Mother's Day,Observance
5/22/2018,Tuesday,Buddha's Birthday,Observance
6/3/2018,Sunday,Opium Suppression Movement Day,Observance
6/18/2018,Monday,Dragon Boat Festival,National holiday
6/21/2018,Thursday,June Solstice,Season
6/26/2018,Tuesday,Kuan Kung's Birthday,Observance
6/26/2018,Tuesday,Chen Huang's Birthday,Observance
8/8/2018,Wednesday,Father's Day,Observance
8/17/2018,Friday,Valentine's Day,Observance
8/25/2018,Saturday,Ghost Festival,Observance
9/3/2018,Monday,Armed Forces Day,Observance
9/23/2018,Sunday,September Equinox,Season
9/24/2018,Monday,Mid-Autumn Festival,National holiday
9/28/2018,Friday,Teachers' Day,Observance
10/10/2018,Wednesday,National Day/Double Tenth Day,National holiday
10/17/2018,Wednesday,Double Ninth Day,Observance
10/21/2018,Sunday,Overseas Chinese Day,Observance
10/25/2018,Thursday,Taiwan's Retrocession Day,Observance
10/31/2018,Wednesday,Halloween,Observance
11/12/2018,Monday,Sun Yat-sen's Birthday,Observance
11/22/2018,Thursday,Saisiat Festival,Observance
12/22/2018,Saturday,December Solstice,Season
12/22/2018,Saturday,D_ngzh“ Festival,Observance
12/25/2018,Tuesday,Constitution Day,Observance
12/25/2018,Tuesday,Christmas Day,Observance